module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs
mkt,1-discovery,Market Positioning,MP,1,skills/bmad-mkt/workflows/1-discovery/market-positioning/workflow.yaml,bmad-mkt-market-positioning,false,marketing-strategist,,"Define competitive positioning value proposition and ICP",output_folder,"Positioning document"
mkt,1-discovery,Marketing Psychology,MY,2,skills/bmad-mkt/workflows/1-discovery/marketing-psychology/workflow.yaml,bmad-mkt-marketing-psychology,false,marketing-strategist,,"Apply behavioral science principles to marketing decisions",output_folder,"Psychology playbook"
mkt,1-discovery,Pricing Strategy,MPS,3,skills/bmad-mkt/workflows/1-discovery/pricing-strategy/workflow.yaml,bmad-mkt-pricing-strategy,false,marketing-strategist,,"Pricing model design packaging and willingness-to-pay analysis",output_folder,"Pricing analysis"
mkt,2-strategy,Content Strategy,MCS,4,skills/bmad-mkt/workflows/2-strategy/content-strategy/workflow.yaml,bmad-mkt-content-strategy,false,marketing-strategist,,"Content planning topic clusters and editorial calendar",output_folder,"Content plan"
mkt,2-strategy,Launch Strategy,LS,5,skills/bmad-mkt/workflows/2-strategy/launch-strategy/workflow.yaml,bmad-mkt-launch-strategy,false,marketing-strategist,,"Product launch planning and execution",output_folder,"Launch plan"
mkt,2-strategy,Lead Magnets,LM,6,skills/bmad-mkt/workflows/2-strategy/lead-magnets/workflow.yaml,bmad-mkt-lead-magnets,false,marketing-strategist,,"Lead generation content design and distribution",output_folder,"Lead magnet design"
mkt,2-strategy,Marketing Ideas,MI,7,skills/bmad-mkt/workflows/2-strategy/marketing-ideas/workflow.yaml,bmad-mkt-marketing-ideas,false,marketing-strategist,,"Marketing brainstorming and growth tactic ideation",output_folder,"Ideas document"
mkt,2-strategy,SEO Plan,MSP,8,skills/bmad-mkt/workflows/2-strategy/seo-plan/workflow.yaml,bmad-mkt-seo-plan,false,content-channels-lead,,"SEO strategy keyword roadmap and competitive gaps",output_folder,"SEO roadmap"
mkt,3-setup,Analytics Tracking,MAT,9,skills/bmad-mkt/workflows/3-setup/analytics-tracking/workflow.yaml,bmad-mkt-analytics-tracking,false,content-channels-lead,,"GA4 GTM event tracking and measurement plan",output_folder,"Tracking plan"
mkt,3-setup,Site Architecture,SA,10,skills/bmad-mkt/workflows/3-setup/site-architecture/workflow.yaml,bmad-mkt-site-architecture,false,content-channels-lead,,"Page hierarchy URL structure and internal linking",output_folder,"Site map"
mkt,3-setup,SEO Technical,MST,11,skills/bmad-mkt/workflows/3-setup/seo-technical/workflow.yaml,bmad-mkt-seo-technical,false,content-channels-lead,,"Technical SEO audit crawlability speed security",output_folder,"Technical SEO report"
mkt,3-setup,SEO Sitemap,SM,12,skills/bmad-mkt/workflows/3-setup/seo-sitemap/workflow.yaml,bmad-mkt-seo-sitemap,false,content-channels-lead,,"XML sitemap generation and validation",output_folder,"XML sitemap"
mkt,3-setup,SEO Hreflang,SH,13,skills/bmad-mkt/workflows/3-setup/seo-hreflang/workflow.yaml,bmad-mkt-seo-hreflang,false,content-channels-lead,,"International SEO hreflang tags and multi-language",output_folder,"Hreflang implementation"
mkt,4-execution,Copywriting,MCW,14,skills/bmad-mkt/workflows/4-execution/copywriting/workflow.yaml,bmad-mkt-copywriting,false,content-channels-lead,,"Homepage landing page and product page copy",output_folder,"Page copy"
mkt,4-execution,Copy Editing,MCE,15,skills/bmad-mkt/workflows/4-execution/copy-editing/workflow.yaml,bmad-mkt-copy-editing,false,content-channels-lead,,"Edit and improve existing marketing copy",output_folder,"Edited copy"
mkt,4-execution,Email Sequence,MES,16,skills/bmad-mkt/workflows/4-execution/email-sequence/workflow.yaml,bmad-mkt-email-sequence,false,content-channels-lead,,"Drip campaigns nurture sequences and lifecycle emails",output_folder,"Email sequence"
mkt,4-execution,Cold Email,CL,17,skills/bmad-mkt/workflows/4-execution/cold-email/workflow.yaml,bmad-mkt-cold-email,false,content-channels-lead,,"B2B prospecting emails and follow-up sequences",output_folder,"Outreach emails"
mkt,4-execution,Social Content,SC,18,skills/bmad-mkt/workflows/4-execution/social-content/workflow.yaml,bmad-mkt-social-content,false,content-channels-lead,,"LinkedIn Twitter/X social media content creation",output_folder,"Social calendar"
mkt,4-execution,Paid Ads,PA,19,skills/bmad-mkt/workflows/4-execution/paid-ads/workflow.yaml,bmad-mkt-paid-ads,false,content-channels-lead,,"Campaign strategy audience targeting and bidding",output_folder,"Campaign plan"
mkt,4-execution,Ad Creative,AC,20,skills/bmad-mkt/workflows/4-execution/ad-creative/workflow.yaml,bmad-mkt-ad-creative,false,content-channels-lead,,"Ad headlines descriptions and creative variations",output_folder,"Ad variations"
mkt,4-execution,SEO Audit,AU,21,skills/bmad-mkt/workflows/4-execution/seo-audit/workflow.yaml,bmad-mkt-seo-audit,false,content-channels-lead,,"Comprehensive SEO audit entry to SEO pipeline",output_folder,"SEO audit report"
mkt,4-execution,AI SEO,AI,22,skills/bmad-mkt/workflows/4-execution/ai-seo/workflow.yaml,bmad-mkt-ai-seo,false,content-channels-lead,,"Optimize for AI search engines ChatGPT Perplexity",output_folder,"AI SEO plan"
mkt,4-execution,SEO Page,PG,23,skills/bmad-mkt/workflows/4-execution/seo-page/workflow.yaml,bmad-mkt-seo-page,false,content-channels-lead,,"Deep single-page SEO analysis",output_folder,"Page analysis"
mkt,4-execution,SEO Content,CN,24,skills/bmad-mkt/workflows/4-execution/seo-content/workflow.yaml,bmad-mkt-seo-content,false,content-channels-lead,,"Content quality E-E-A-T and AI citation readiness",output_folder,"Content audit"
mkt,4-execution,SEO Images,IM,25,skills/bmad-mkt/workflows/4-execution/seo-images/workflow.yaml,bmad-mkt-seo-images,false,content-channels-lead,,"Image optimization alt text sizing and lazy loading",output_folder,"Image audit"
mkt,4-execution,SEO Schema,MSS,26,skills/bmad-mkt/workflows/4-execution/seo-schema/workflow.yaml,bmad-mkt-seo-schema,false,content-channels-lead,,"Schema.org structured data JSON-LD generation and validation",output_folder,"Schema markup"
mkt,4-execution,SEO GEO,GE,27,skills/bmad-mkt/workflows/4-execution/seo-geo/workflow.yaml,bmad-mkt-seo-geo,false,content-channels-lead,,"AI Overviews GEO and LLM visibility optimization",output_folder,"GEO analysis"
mkt,4-execution,Programmatic SEO,MPR,28,skills/bmad-mkt/workflows/4-execution/programmatic-seo/workflow.yaml,bmad-mkt-programmatic-seo,false,content-channels-lead,,"Template-based pages at scale for SEO",output_folder,"pSEO template"
mkt,4-execution,Signup Flow CRO,SF,29,skills/bmad-mkt/workflows/4-execution/signup-flow-cro/workflow.yaml,bmad-mkt-signup-flow-cro,false,content-channels-lead,,"Signup registration and trial activation optimization",output_folder,"Signup optimization"
